,idx,beta,pval,cilb,ciub,i2,tau2,symbol
ENSG00000185361.7,47798,-0.13237062927651,0.398927664723139,-0.439934353902763,0.175193095349742,97.1920372987728,0.531782764805559,TNFAIP8L1
ENSG00000138068.9,40243,-0.427141507993594,0.399252352228506,-1.42029029492027,0.56600727893308,95.4011767977819,4.98105420175673,SULT6B1
ENSG00000021488.11,52339,-0.34405923172922,0.412738737039602,-1.16734971161918,0.479231248160743,98.7474240806354,3.75698761376598,SLC7A9
ENSG00000178821.11,249,-0.371459081250998,0.424738676119,-1.28353831518289,0.540620152680896,99.3406561764251,4.77831219213871,TMEM52
ENSG00000102981.8,55021,-0.120898619800312,0.436229600500761,-0.425245249425532,0.183448009824907,97.2032918568955,0.514263170135304,PARD6A
ENSG00000091972.17,3605,-0.240855216467779,0.466943599295444,-0.889780108735295,0.408069675799737,99.3436246943604,2.43474734806152,CD200
ENSG00000183185.8,18303,0.307801565113304,0.471564599378391,-0.53016215861099,1.1457652888376,95.7231217294673,3.68077135792767,GABRR3
ENSG00000196407.10,30110,0.189886632203162,0.483996680290344,-0.341870553864623,0.721643818270948,98.6845035120054,1.56070731400273,THEM5
ENSG00000100395.13,53553,0.0279817424159043,0.493523446978235,-0.0521145967607956,0.108078081592604,93.4868175769573,0.0326510137286729,L3MBTL2
ENSG00000052723.10,52230,0.0452952568179401,0.508756431573648,-0.0890576364550815,0.179648150090962,97.531307615011,0.10027046998715,SIKE1
ENSG00000129450.7,26535,0.191736669914659,0.521859594377969,-0.395004634930451,0.778477974759769,98.6544525042673,1.98787631676352,SIGLEC9
ENSG00000103534.15,50642,0.278673675327003,0.538125857324202,-0.608503760628171,1.16585111128218,98.9268084034534,4.3262827943282,TMC5
ENSG00000140519.11,26563,-0.589263276938538,0.553848286937764,-2.54015532966392,1.36162877578685,99.2467708709753,21.1226311708351,RHCG
ENSG00000174500.11,27143,-0.122222531928254,0.55548369090905,-0.528543446269284,0.284098382412777,96.7131223616954,0.863099629701675,GCSAM
ENSG00000173511.8,25460,0.0809952035129108,0.561290721822589,-0.1922716865205,0.354262093546322,97.7374986368742,0.394570383496083,VEGFB
ENSG00000100593.16,39432,0.300540948242144,0.577748386479859,-0.757612748219872,1.35869464470416,98.1172096241526,6.0113534243128,ISM2
ENSG00000108828.14,7902,-0.0871504370288956,0.583498725655362,-0.39869069877331,0.224389824715519,98.8234181509926,0.546758524838815,VAT1
ENSG00000157764.11,33064,-0.0411395040037601,0.586907365922527,-0.189544655530789,0.107265647523269,97.0541434066162,0.119695764110864,BRAF
ENSG00000265491.4,49342,-0.0335762301778253,0.587015313747766,-0.154732868616355,0.0875804082607047,96.0832364230062,0.0739434990838582,RNF115
ENSG00000050426.14,39865,0.0455884171258498,0.623550119411097,-0.136455342106226,0.227632176357926,97.7108097653822,0.185159887508232,LETMD1
ENSG00000144455.12,35540,-0.0467146947342269,0.640486613734035,-0.242764982735742,0.149335593267288,97.599002949591,0.205079600934825,SUMF1
ENSG00000168000.13,3652,0.0675527102382588,0.646169863551032,-0.220846100642378,0.355951521118895,99.0456846648412,0.479435441722729,BSCL2
ENSG00000181264.7,22779,-0.0848973762149102,0.646310696204787,-0.447499646136572,0.277704893706751,98.7057555453611,0.733439640244729,TMEM136
ENSG00000275793.1,48584,0.111849257786399,0.658222192283345,-0.38371102411643,0.607409539689227,93.8991960880608,1.17173845628421,RIMBP3
ENSG00000105668.6,9070,-0.204304891033141,0.667402938419281,-1.13615550600953,0.727545723943249,93.8967110411429,4.2611591603206,UPK1A
ENSG00000169914.5,30364,-0.0393681637350754,0.667646253815212,-0.219069294073105,0.140332966602954,95.6129977431089,0.171374851398633,OTUD3
ENSG00000129255.13,47701,-0.0531027751085972,0.674572694064539,-0.300981651287251,0.194776101070056,98.2623969335722,0.337379900491855,MPDU1
ENSG00000138660.10,42784,-0.0324715643995858,0.681015374275357,-0.187291583316871,0.1223484545177,96.4012290629495,0.128351089014301,AP1AR
ENSG00000196805.7,58369,-0.256725312294231,0.686917832310044,-1.5051639937654,0.991713369176941,99.3665840414353,8.40869421049901,SPRR2B
ENSG00000140297.11,40799,0.153978503861438,0.75416915050576,-0.809762279151821,1.1177192868747,98.2719988232365,4.90125493576385,GCNT3
ENSG00000139223.2,27935,-0.127070100325655,0.786275766040019,-1.04557623498005,0.791436034328738,86.131356440676,3.7710805321317,ANP32D
ENSG00000138246.14,16264,-0.0176139134568077,0.791487145346811,-0.148193534113744,0.112965707200129,94.6112528471617,0.0894364885824603,DNAJC13
ENSG00000141198.12,32889,0.0386899923329295,0.79517528123727,-0.253421358341845,0.330801343007704,97.9949106236319,0.453166866443253,TOM1L1
ENSG00000197375.11,9332,0.0277828715511279,0.836604100776141,-0.236247625244475,0.291813368346731,97.8808500820472,0.373413850206067,SLC22A5
ENSG00000138801.7,12581,0.0254539466366436,0.840623153742089,-0.222630081645844,0.273537974919131,98.5641146256351,0.351410805905616,PAPSS1
ENSG00000198589.9,28508,-0.0156934903466597,0.88592529860607,-0.230096398168988,0.198709417475669,96.9887303222538,0.249908585438339,LRBA
ENSG00000136098.15,10041,0.0104843219052844,0.931887358125553,-0.229936602676742,0.250905246487311,97.4522027723646,0.315512317526546,NEK3
ENSG00000163012.3,37107,0.0277321037835689,0.93588927499383,-0.647996268933977,0.703460476501115,92.6518331625946,2.0999167114834,ZSWIM2
ENSG00000144645.12,56989,-0.0058002659441856,0.970515384626374,-0.313368666180683,0.301768134292312,98.2186838068846,0.486501851431221,OSBPL10
ENSG00000155111.13,17938,0.00259016113762945,0.98217154610711,-0.224587230654382,0.229767552929641,98.0863191254942,0.288266675564454,CDK19
ENSG00000114902.12,3394,0.000601882720923218,0.994437148839774,-0.168597615028683,0.16980138047053,97.4765687085819,0.158988886875142,SPCS1
